Name,Games,Points Per Game,Rebounds Per Game,Assists Per Game,Field Goal Percentage,Three Point Percentage,Free Throw Percentage,Player Efficiency,Win Shares,Vorp
Shaq,1207,23.7,10.9,2.5,58.2,4.5,52.7,26.4,181.7,74
S. Nash,1217,14.3,3,8.5,49,42.8,90.4,20,129.7,31.2
M.J.,1072,30.1,6.2,5.3,49.7,32.7,83.5,27.9,214,104.4
K.A.J.,1560,24.6,11.2,3.6,55.9,5.6,72.1,24.6,273.4,86
R. Allen,1300,18.9,4.1,3.4,45.2,40,89.4,18.6,145.1,58.1
L. Bird,897,24.3,10,6.3,49.6,37.6,88.6,23.5,145.8,79.7
Magic,906,19.5,7.2,11.2,52,30.3,84.8,24.1,155.8,77.4
K. Mal,1476,25,10.1,3.6,51.6,27.4,74.2,23.9,234.6,102.5
C. Barkely,1073,22.1,11.7,3.9,54.1,26.6,73.5,24.6,177.2,93.5
P. Ewing,1183,21,9.8,1.9,50.4,15.2,74,21,126.4,40.9
